Usuario,Projeto,Bug,Merge,DiaDaSemana,TamanhoDescricao
12,2,False,False,Wednesday,0
13,2,False,True,Wednesday,0
12,2,False,False,Wednesday,0
12,2,False,False,Wednesday,0
13,2,False,True,Wednesday,0
6,2,False,False,Wednesday,44
13,2,True,False,Wednesday,0
6,2,False,False,Wednesday,0
13,2,False,True,Wednesday,0
13,2,False,True,Wednesday,0
13,2,False,False,Wednesday,0
4,2,False,True,Wednesday,0
6,2,False,True,Wednesday,0
12,2,False,False,Wednesday,0
13,2,False,True,Wednesday,0
6,2,False,False,Wednesday,0
12,2,False,False,Wednesday,0
13,2,False,False,Wednesday,0
13,2,False,True,Wednesday,0
13,2,False,True,Wednesday,0
12,2,False,False,Wednesday,0
13,2,False,True,Wednesday,0
12,2,False,False,Wednesday,0
13,2,False,False,Wednesday,90
13,2,False,False,Wednesday,0
13,2,False,False,Wednesday,65
13,2,False,False,Wednesday,0
13,2,False,False,Wednesday,0
12,2,False,False,Wednesday,0
12,2,False,False,Wednesday,0
12,2,False,False,Wednesday,0
12,2,False,False,Wednesday,64
13,2,False,False,Wednesday,0
12,2,False,False,Wednesday,0
12,2,False,False,Wednesday,0
6,2,False,True,Wednesday,0
12,2,False,False,Wednesday,121
12,2,False,False,Wednesday,0
6,2,False,False,Wednesday,0
6,2,False,False,Wednesday,0
6,2,False,False,Wednesday,0
13,2,False,True,Wednesday,0
6,2,True,False,Wednesday,136
14,2,False,True,Wednesday,0
12,2,False,False,Wednesday,0
6,2,True,False,Wednesday,0
6,2,True,False,Wednesday,0
13,2,False,False,Wednesday,105
12,2,False,False,Wednesday,0
13,2,False,False,Wednesday,0
12,2,False,False,Wednesday,0
13,2,False,False,Wednesday,0
6,2,False,True,Wednesday,0
12,2,False,False,Wednesday,0
6,2,False,True,Wednesday,0
12,2,False,False,Wednesday,0
12,2,True,False,Wednesday,0
12,2,False,False,Wednesday,0
12,2,False,False,Wednesday,0
12,2,False,False,Wednesday,0
10,3,False,False,Monday,0
